date,division,index,division_name,summary
2023-11-01,overall,129.6,Overall,"On 2023-11-01, the Core CPI for Overall was 129.6."
2023-12-01,overall,129.6,Overall,"On 2023-12-01, the Core CPI for Overall was 129.6."
2024-01-01,overall,129.98583,Overall,"On 2024-01-01, the Core CPI for Overall was 129.98583."
2024-02-01,overall,130.3,Overall,"On 2024-02-01, the Core CPI for Overall was 130.3."
2024-03-01,overall,130.5,Overall,"On 2024-03-01, the Core CPI for Overall was 130.5."
2024-04-01,overall,130.7,Overall,"On 2024-04-01, the Core CPI for Overall was 130.7."
2024-05-01,overall,131.2,Overall,"On 2024-05-01, the Core CPI for Overall was 131.2."
2024-06-01,overall,131.3,Overall,"On 2024-06-01, the Core CPI for Overall was 131.3."
2024-07-01,overall,131.4,Overall,"On 2024-07-01, the Core CPI for Overall was 131.4."
2024-08-01,overall,131.7,Overall,"On 2024-08-01, the Core CPI for Overall was 131.7."
2024-09-01,overall,131.9,Overall,"On 2024-09-01, the Core CPI for Overall was 131.9."
2024-10-01,overall,131.9,Overall,"On 2024-10-01, the Core CPI for Overall was 131.9."
2024-11-01,overall,131.9,Overall,"On 2024-11-01, the Core CPI for Overall was 131.9."
2024-12-01,overall,131.7,Overall,"On 2024-12-01, the Core CPI for Overall was 131.7."
2025-01-01,overall,132.3,Overall,"On 2025-01-01, the Core CPI for Overall was 132.3."
2025-02-01,overall,132.8,Overall,"On 2025-02-01, the Core CPI for Overall was 132.8."
2025-03-01,overall,133.0,Overall,"On 2025-03-01, the Core CPI for Overall was 133.0."
2025-04-01,overall,133.3,Overall,"On 2025-04-01, the Core CPI for Overall was 133.3."
2025-05-01,overall,133.5,Overall,"On 2025-05-01, the Core CPI for Overall was 133.5."
2025-06-01,overall,133.6,Overall,"On 2025-06-01, the Core CPI for Overall was 133.6."
2025-07-01,overall,133.8,Overall,"On 2025-07-01, the Core CPI for Overall was 133.8."
2025-08-01,overall,134.3,Overall,"On 2025-08-01, the Core CPI for Overall was 134.3."
2018-01-01,01,127.2,Food and Beverages,"On 2018-01-01, the Core CPI for Food and Beverages was 127.2."
2018-02-01,01,127.4,Food and Beverages,"On 2018-02-01, the Core CPI for Food and Beverages was 127.4."
2018-03-01,01,127.6,Food and Beverages,"On 2018-03-01, the Core CPI for Food and Beverages was 127.6."
2018-04-01,01,127.9,Food and Beverages,"On 2018-04-01, the Core CPI for Food and Beverages was 127.9."
2018-05-01,01,128.1,Food and Beverages,"On 2018-05-01, the Core CPI for Food and Beverages was 128.1."
2018-06-01,01,126.1,Food and Beverages,"On 2018-06-01, the Core CPI for Food and Beverages was 126.1."
2018-07-01,01,126.2,Food and Beverages,"On 2018-07-01, the Core CPI for Food and Beverages was 126.2."
2018-08-01,01,126.4,Food and Beverages,"On 2018-08-01, the Core CPI for Food and Beverages was 126.4."
2018-09-01,01,127.4,Food and Beverages,"On 2018-09-01, the Core CPI for Food and Beverages was 127.4."
2018-10-01,01,127.8,Food and Beverages,"On 2018-10-01, the Core CPI for Food and Beverages was 127.8."
2018-11-01,01,128.4,Food and Beverages,"On 2018-11-01, the Core CPI for Food and Beverages was 128.4."
2018-12-01,01,128.5,Food and Beverages,"On 2018-12-01, the Core CPI for Food and Beverages was 128.5."
2019-01-01,01,129.2,Food and Beverages,"On 2019-01-01, the Core CPI for Food and Beverages was 129.2."
2019-02-01,01,129.6,Food and Beverages,"On 2019-02-01, the Core CPI for Food and Beverages was 129.6."
2019-03-01,01,129.8,Food and Beverages,"On 2019-03-01, the Core CPI for Food and Beverages was 129.8."
2019-04-01,01,129.9,Food and Beverages,"On 2019-04-01, the Core CPI for Food and Beverages was 129.9."
2019-05-01,01,130.0,Food and Beverages,"On 2019-05-01, the Core CPI for Food and Beverages was 130.0."
2019-06-01,01,129.9,Food and Beverages,"On 2019-06-01, the Core CPI for Food and Beverages was 129.9."
2019-07-01,01,130.1,Food and Beverages,"On 2019-07-01, the Core CPI for Food and Beverages was 130.1."
2019-08-01,01,130.3,Food and Beverages,"On 2019-08-01, the Core CPI for Food and Beverages was 130.3."
2019-09-01,01,130.4,Food and Beverages,"On 2019-09-01, the Core CPI for Food and Beverages was 130.4."
2019-10-01,01,130.5,Food and Beverages,"On 2019-10-01, the Core CPI for Food and Beverages was 130.5."
2019-11-01,01,130.7,Food and Beverages,"On 2019-11-01, the Core CPI for Food and Beverages was 130.7."
2019-12-01,01,130.8,Food and Beverages,"On 2019-12-01, the Core CPI for Food and Beverages was 130.8."
2020-01-01,01,131.0,Food and Beverages,"On 2020-01-01, the Core CPI for Food and Beverages was 131.0."
2020-02-01,01,131.2,Food and Beverages,"On 2020-02-01, the Core CPI for Food and Beverages was 131.2."
2020-03-01,01,131.4,Food and Beverages,"On 2020-03-01, the Core CPI for Food and Beverages was 131.4."
2020-04-01,01,131.3,Food and Beverages,"On 2020-04-01, the Core CPI for Food and Beverages was 131.3."
2020-05-01,01,131.4,Food and Beverages,"On 2020-05-01, the Core CPI for Food and Beverages was 131.4."
2020-06-01,01,131.6,Food and Beverages,"On 2020-06-01, the Core CPI for Food and Beverages was 131.6."
2020-07-01,01,131.7,Food and Beverages,"On 2020-07-01, the Core CPI for Food and Beverages was 131.7."
2020-08-01,01,132.1,Food and Beverages,"On 2020-08-01, the Core CPI for Food and Beverages was 132.1."
2020-09-01,01,132.2,Food and Beverages,"On 2020-09-01, the Core CPI for Food and Beverages was 132.2."
2020-10-01,01,132.2,Food and Beverages,"On 2020-10-01, the Core CPI for Food and Beverages was 132.2."
2020-11-01,01,132.3,Food and Beverages,"On 2020-11-01, the Core CPI for Food and Beverages was 132.3."
2020-12-01,01,132.4,Food and Beverages,"On 2020-12-01, the Core CPI for Food and Beverages was 132.4."
2021-01-01,01,132.6,Food and Beverages,"On 2021-01-01, the Core CPI for Food and Beverages was 132.6."
2021-02-01,01,132.7,Food and Beverages,"On 2021-02-01, the Core CPI for Food and Beverages was 132.7."
2021-03-01,01,132.9,Food and Beverages,"On 2021-03-01, the Core CPI for Food and Beverages was 132.9."
2021-04-01,01,133.0,Food and Beverages,"On 2021-04-01, the Core CPI for Food and Beverages was 133.0."
2021-05-01,01,133.1,Food and Beverages,"On 2021-05-01, the Core CPI for Food and Beverages was 133.1."
2021-06-01,01,133.2,Food and Beverages,"On 2021-06-01, the Core CPI for Food and Beverages was 133.2."
2021-07-01,01,133.2,Food and Beverages,"On 2021-07-01, the Core CPI for Food and Beverages was 133.2."
2021-08-01,01,133.3,Food and Beverages,"On 2021-08-01, the Core CPI for Food and Beverages was 133.3."
2021-09-01,01,133.5,Food and Beverages,"On 2021-09-01, the Core CPI for Food and Beverages was 133.5."
2021-10-01,01,133.8,Food and Beverages,"On 2021-10-01, the Core CPI for Food and Beverages was 133.8."
2021-11-01,01,134.4,Food and Beverages,"On 2021-11-01, the Core CPI for Food and Beverages was 134.4."
2021-12-01,01,135.2,Food and Beverages,"On 2021-12-01, the Core CPI for Food and Beverages was 135.2."
2022-01-01,01,136.3,Food and Beverages,"On 2022-01-01, the Core CPI for Food and Beverages was 136.3."
2022-02-01,01,136.9,Food and Beverages,"On 2022-02-01, the Core CPI for Food and Beverages was 136.9."
2022-03-01,01,137.5,Food and Beverages,"On 2022-03-01, the Core CPI for Food and Beverages was 137.5."
2022-04-01,01,138.1,Food and Beverages,"On 2022-04-01, the Core CPI for Food and Beverages was 138.1."
2022-05-01,01,139.0,Food and Beverages,"On 2022-05-01, the Core CPI for Food and Beverages was 139.0."
2022-06-01,01,140.6,Food and Beverages,"On 2022-06-01, the Core CPI for Food and Beverages was 140.6."
2022-07-01,01,142.2,Food and Beverages,"On 2022-07-01, the Core CPI for Food and Beverages was 142.2."
2022-08-01,01,143.0,Food and Beverages,"On 2022-08-01, the Core CPI for Food and Beverages was 143.0."
2022-09-01,01,143.5,Food and Beverages,"On 2022-09-01, the Core CPI for Food and Beverages was 143.5."
2022-10-01,01,144.4,Food and Beverages,"On 2022-10-01, the Core CPI for Food and Beverages was 144.4."
2022-11-01,01,145.4,Food and Beverages,"On 2022-11-01, the Core CPI for Food and Beverages was 145.4."
2022-12-01,01,146.1,Food and Beverages,"On 2022-12-01, the Core CPI for Food and Beverages was 146.1."
2023-01-01,01,146.9,Food and Beverages,"On 2023-01-01, the Core CPI for Food and Beverages was 146.9."
2023-02-01,01,147.3,Food and Beverages,"On 2023-02-01, the Core CPI for Food and Beverages was 147.3."
2023-03-01,01,147.8,Food and Beverages,"On 2023-03-01, the Core CPI for Food and Beverages was 147.8."
2023-04-01,01,148.0,Food and Beverages,"On 2023-04-01, the Core CPI for Food and Beverages was 148.0."
2023-05-01,01,148.8,Food and Beverages,"On 2023-05-01, the Core CPI for Food and Beverages was 148.8."
2023-06-01,01,149.0,Food and Beverages,"On 2023-06-01, the Core CPI for Food and Beverages was 149.0."
2023-07-01,01,149.9,Food and Beverages,"On 2023-07-01, the Core CPI for Food and Beverages was 149.9."
2023-08-01,01,150.3,Food and Beverages,"On 2023-08-01, the Core CPI for Food and Beverages was 150.3."
2023-09-01,01,150.8,Food and Beverages,"On 2023-09-01, the Core CPI for Food and Beverages was 150.8."
2023-10-01,01,151.3,Food and Beverages,"On 2023-10-01, the Core CPI for Food and Beverages was 151.3."
2023-11-01,01,150.8,Food and Beverages,"On 2023-11-01, the Core CPI for Food and Beverages was 150.8."
2023-12-01,01,150.8,Food and Beverages,"On 2023-12-01, the Core CPI for Food and Beverages was 150.8."
2024-01-01,01,151.2,Food and Beverages,"On 2024-01-01, the Core CPI for Food and Beverages was 151.2."
2024-02-01,01,151.9,Food and Beverages,"On 2024-02-01, the Core CPI for Food and Beverages was 151.9."
2024-03-01,01,152.2,Food and Beverages,"On 2024-03-01, the Core CPI for Food and Beverages was 152.2."
2024-04-01,01,152.8,Food and Beverages,"On 2024-04-01, the Core CPI for Food and Beverages was 152.8."
2024-05-01,01,153.1,Food and Beverages,"On 2024-05-01, the Core CPI for Food and Beverages was 153.1."
2024-06-01,01,153.1,Food and Beverages,"On 2024-06-01, the Core CPI for Food and Beverages was 153.1."
2024-07-01,01,153.9,Food and Beverages,"On 2024-07-01, the Core CPI for Food and Beverages was 153.9."
2024-08-01,01,154.3,Food and Beverages,"On 2024-08-01, the Core CPI for Food and Beverages was 154.3."
2024-09-01,01,154.3,Food and Beverages,"On 2024-09-01, the Core CPI for Food and Beverages was 154.3."
2024-10-01,01,156.2,Food and Beverages,"On 2024-10-01, the Core CPI for Food and Beverages was 156.2."
2024-11-01,01,156.4,Food and Beverages,"On 2024-11-01, the Core CPI for Food and Beverages was 156.4."
2024-12-01,01,156.7,Food and Beverages,"On 2024-12-01, the Core CPI for Food and Beverages was 156.7."
2025-01-01,01,157.3,Food and Beverages,"On 2025-01-01, the Core CPI for Food and Beverages was 157.3."
2025-02-01,01,157.6,Food and Beverages,"On 2025-02-01, the Core CPI for Food and Beverages was 157.6."
2025-03-01,01,157.8,Food and Beverages,"On 2025-03-01, the Core CPI for Food and Beverages was 157.8."
2025-04-01,01,158.3,Food and Beverages,"On 2025-04-01, the Core CPI for Food and Beverages was 158.3."
2025-05-01,01,158.6,Food and Beverages,"On 2025-05-01, the Core CPI for Food and Beverages was 158.6."
2025-06-01,01,158.9,Food and Beverages,"On 2025-06-01, the Core CPI for Food and Beverages was 158.9."
2025-07-01,01,159.3,Food and Beverages,"On 2025-07-01, the Core CPI for Food and Beverages was 159.3."
2025-08-01,01,159.6,Food and Beverages,"On 2025-08-01, the Core CPI for Food and Beverages was 159.6."
2018-01-01,02,,Alcoholic Beverages & Tobacco,"On 2018-01-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2018-02-01,02,,Alcoholic Beverages & Tobacco,"On 2018-02-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2018-03-01,02,,Alcoholic Beverages & Tobacco,"On 2018-03-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2018-04-01,02,,Alcoholic Beverages & Tobacco,"On 2018-04-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2018-05-01,02,,Alcoholic Beverages & Tobacco,"On 2018-05-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2018-06-01,02,,Alcoholic Beverages & Tobacco,"On 2018-06-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2018-07-01,02,,Alcoholic Beverages & Tobacco,"On 2018-07-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2018-08-01,02,,Alcoholic Beverages & Tobacco,"On 2018-08-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2018-09-01,02,,Alcoholic Beverages & Tobacco,"On 2018-09-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2018-10-01,02,,Alcoholic Beverages & Tobacco,"On 2018-10-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2018-11-01,02,,Alcoholic Beverages & Tobacco,"On 2018-11-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2018-12-01,02,,Alcoholic Beverages & Tobacco,"On 2018-12-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2019-01-01,02,,Alcoholic Beverages & Tobacco,"On 2019-01-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2019-02-01,02,,Alcoholic Beverages & Tobacco,"On 2019-02-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2019-03-01,02,,Alcoholic Beverages & Tobacco,"On 2019-03-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2019-04-01,02,,Alcoholic Beverages & Tobacco,"On 2019-04-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2019-05-01,02,,Alcoholic Beverages & Tobacco,"On 2019-05-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2019-06-01,02,,Alcoholic Beverages & Tobacco,"On 2019-06-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2019-07-01,02,,Alcoholic Beverages & Tobacco,"On 2019-07-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2019-08-01,02,,Alcoholic Beverages & Tobacco,"On 2019-08-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2019-09-01,02,,Alcoholic Beverages & Tobacco,"On 2019-09-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2019-10-01,02,,Alcoholic Beverages & Tobacco,"On 2019-10-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2019-11-01,02,,Alcoholic Beverages & Tobacco,"On 2019-11-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2019-12-01,02,,Alcoholic Beverages & Tobacco,"On 2019-12-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2020-01-01,02,,Alcoholic Beverages & Tobacco,"On 2020-01-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2020-02-01,02,,Alcoholic Beverages & Tobacco,"On 2020-02-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2020-03-01,02,,Alcoholic Beverages & Tobacco,"On 2020-03-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2020-04-01,02,,Alcoholic Beverages & Tobacco,"On 2020-04-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2020-05-01,02,,Alcoholic Beverages & Tobacco,"On 2020-05-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2020-06-01,02,,Alcoholic Beverages & Tobacco,"On 2020-06-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2020-07-01,02,,Alcoholic Beverages & Tobacco,"On 2020-07-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2020-08-01,02,,Alcoholic Beverages & Tobacco,"On 2020-08-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2020-09-01,02,,Alcoholic Beverages & Tobacco,"On 2020-09-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2020-10-01,02,,Alcoholic Beverages & Tobacco,"On 2020-10-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2020-11-01,02,,Alcoholic Beverages & Tobacco,"On 2020-11-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2020-12-01,02,,Alcoholic Beverages & Tobacco,"On 2020-12-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
2021-01-01,02,,Alcoholic Beverages & Tobacco,"On 2021-01-01, the Core CPI for Alcoholic Beverages & Tobacco was nan."
